FID,OBJECTID,Comment,YEAR_BUILT,PORTS,PRIVATE,LAT,LONG,ELEV,Hydrant_Ty,Address_Nu,Street_Nam,Repairs_Ne,Last_Maint,Maintained,PSI,POINT_X,POINT_Y,POINT_Z,POINT_M
241,242, ,2004,3,N,45.513028040499997,-122.379854464000005,59.743251229999998,Clow,927.000000000000000,SWEETBRIAR,Need Paint,4/16/2014 0:00:00,Y,65,7720244.750169999897480,678739.606554000056349,59.743299999999998,0.000000000000000
242,243,needs paint,1972,3,N,45.514035063000001,-122.381265976999998,56.844349391599998,Pacific States,3718.000000000000000,DOUGLASS,O-Rings,4/17/2014 0:00:00,Y,65,7719891.498580000363290,679115.026078999973834,56.844299999999997,0.000000000000000
243,244,needs reflected,1972,3,N,45.516120721400000,-122.385677412000007,49.679338352000002,Pacific States,3505.000000000000000,HARLOW,O-Rings,4/15/2014 0:00:00,Y,70,7718778.682239999994636,679901.508101999992505,49.679299999999998,0.000000000000000
244,245,needs paint,1972,3,N,45.517015969699997,-122.384963056000004,48.301864745099998,Pacific States,304.000000000000000,34TH,O-Rings,4/16/2014 0:00:00,Y,80,7718969.411519999615848,680223.674451999948360,48.301900000000003,0.000000000000000
245,246, ,2006,3,N,45.516299660599998,-122.387077281000003,51.553486431600000,Muller SC,0.000000000000000,TROUTDALE,Need Paint,4/15/2014 0:00:00,Y,70,7718421.601590000092983,679975.293386999983341,0.000000000000000,0.000000000000000
246,247,needs reflected,1972,3,N,45.515359693299999,-122.386092804000000,52.274374085799998,Pacific States,3624.000000000000000,HARLOW,O-Rings,4/15/2014 0:00:00,Y,70,7718666.042369999922812,679626.615606999956071,52.274400000000000,0.000000000000000
247,248,needs paint,1972,3,N,45.515180468600001,-122.382743083999998,50.888493941900002,Pacific States,554.000000000000000,SWEETBRIAR,O-Rings,4/17/2014 0:00:00,Y,65,7719522.763100000098348,679541.422536000027321,0.000000000000000,0.000000000000000
248,249,needs paint,1972,3,N,45.514320341999998,-122.383799346000004,55.672626963699997,Pacific States,3714.000000000000000,STOTT,O-Rings,4/15/2014 0:00:00,Y,65,7719244.862739999778569,679234.337192000006326,55.672600000000003,0.000000000000000
249,250,needs o rings,1972,3,N,45.513668219099998,-122.384784374000006,59.548724590500001,Pacific States,3915.000000000000000,STOTT,Need Paint,4/15/2014 0:00:00,Y,70,7718987.301900000311434,679002.349139000056311,59.548699999999997,0.000000000000000
250,251, ,1972,3,N,45.513153969500003,-122.386343697000001,62.327974872799999,Pacific States,207.000000000000000,40TH,Need Paint,4/15/2014 0:00:00,Y,55,7718582.800409999676049,678824.467276999959722,0.000000000000000,0.000000000000000
251,252, ,1986,3,N,45.512209785899998,-122.387189782999997,66.964734370900004,Muller SC,0.000000000000000,TROUTDALE,Need Paint,4/15/2014 0:00:00,Y,50,7718357.412089999765158,678482.659234000020660,66.964699999999993,0.000000000000000
252,253,needs paint,2002,3,N,45.506498622599999,-122.377257688000000,84.230301567699996,Waterous 67,27710.000000000000000,STREBIN,Replace Reflector,4/11/2014 0:00:00,Y,55,7720854.864110000431538,676344.111017000046559,84.230300000000000,0.000000000000000
253,254,does not drain  at all,1993,3,N,45.509250422000001,-122.378858336999997,66.655469225399997,Waterous 67,1022.000000000000000,SWEETBRIAR,Need Paint,4/15/2014 0:00:00,Y,80,7720467.933450000360608,677356.629333000048064,0.000000000000000,0.000000000000000
254,255, ,1993,3,N,45.510277637000002,-122.380227149999996,67.113485927499994,Muller SC,0.000000000000000,SWEETBRIAR,Need Paint,4/14/2014 0:00:00,Y,85,7720125.905269999988377,677739.288016999955289,67.113500000000002,0.000000000000000
